iter	RMSE
0	14.8247834
1	14.63459487
2	14.45294962
3	14.26521276
4	14.07245478
5	13.88576738
6	13.70961166
7	13.54406446
8	13.37694241
9	13.2279618
10	13.05733514
11	12.9054605
12	12.74268945
13	12.59026083
14	12.43866545
15	12.28270449
16	12.13439
17	12.00960374
18	11.85859999
19	11.72908661
20	11.59235356
21	11.45500129
22	11.32670469
23	11.21446829
24	11.08474522
25	10.98016699
26	10.85260537
27	10.72586129
28	10.61021733
29	10.49274623
30	10.3785974
31	10.26739838
32	10.15873029
33	10.07407781
34	9.973137587
35	9.879121042
36	9.776428802
37	9.677684024
38	9.593736613
39	9.506092983
40	9.425685944
41	9.33473268
42	9.258724977
43	9.165858363
44	9.07388652
45	9.009862915
46	8.922721064
47	8.843380854
48	8.762322632
49	8.68503129
50	8.614768911
51	8.552449644
52	8.484631433
53	8.415829526
54	8.349037374
55	8.27916201
56	8.211188032
57	8.147298344
58	8.087258081
59	8.020207529
60	7.959223751
61	7.899623049
62	7.843691902
63	7.788283828
64	7.735966919
65	7.686037793
66	7.629774395
67	7.580545866
68	7.531996554
69	7.485704116
70	7.439573985
71	7.39080497
72	7.347271517
73	7.307581288
74	7.26589692
75	7.22656998
76	7.185689417
77	7.149742993
78	7.119049634
79	7.079951991
80	7.041707382
81	7.004986298
82	6.970220908
83	6.93089413
84	6.897471119
85	6.86421288
86	6.837627522
87	6.80412752
88	6.771726129
89	6.744181398
90	6.713414174
91	6.681826574
92	6.65636026
93	6.626713025
94	6.598454825
95	6.568095965
96	6.543526574
97	6.516195872
98	6.489569235
99	6.467271704
100	6.443964142
101	6.42142537
102	6.396274893
103	6.372808662
104	6.352966575
105	6.327469205
106	6.309557919
107	6.287653502
108	6.269780923
109	6.249257861
110	6.231560421
111	6.211662027
112	6.19312675
113	6.176128214
114	6.155842055
115	6.140019756
116	6.121875654
117	6.1065974
118	6.089586753
119	6.074671841
120	6.058987718
121	6.044380117
122	6.030314874
123	6.014644459
124	5.999076944
125	5.984009116
126	5.971661108
127	5.958239152
128	5.94472627
129	5.9311222
130	5.916888616
131	5.90271882
132	5.890756812
133	5.878497068
134	5.865323149
135	5.854219019
136	5.840511969
137	5.828582596
138	5.818071816
139	5.806188051
140	5.796685623
141	5.785730517
142	5.777409273
143	5.76795082
144	5.757530485
145	5.74727207
146	5.739460732
147	5.729082312
148	5.719822303
149	5.712293376
150	5.7012771
151	5.690856888
152	5.680576307
153	5.673451794
154	5.663456654
155	5.654319253
156	5.645788497
157	5.637441175
158	5.63113364
159	5.623568555
160	5.614687925
161	5.607630166
162	5.600153095
163	5.594101478
164	5.58645535
165	5.580782368
166	5.572428424
167	5.566298638
168	5.560383293
169	5.55364986
170	5.547966877
171	5.541699859
172	5.536710592
173	5.532699143
174	5.525137281
175	5.519405437
176	5.515505996
177	5.509640576
178	5.503948473
179	5.496013223
180	5.49070011
181	5.485909106
182	5.481964223
183	5.476834585
184	5.472707813
185	5.467265945
186	5.46301618
187	5.459005157
188	5.454997534
189	5.4491747
190	5.445781145
191	5.441163011
192	5.434225206
193	5.429832177
194	5.425453955
195	5.421745791
196	5.418122192
197	5.412121469
198	5.40851615
199	5.40497543
200	5.39997664
201	5.395497328
202	5.390216677
203	5.386254726
204	5.383837498
205	5.379727134
206	5.373627122
207	5.367907018
208	5.364765576
209	5.360286698
210	5.354986228
211	5.351349638
212	5.347021103
213	5.344374237
214	5.34041763
215	5.337348128
216	5.33440628
217	5.329475402
218	5.327349911
219	5.323285824
220	5.319907455
221	5.316625097
222	5.312931933
223	5.309512673
224	5.30583176
225	5.30264533
226	5.299066532
227	5.295928218
228	5.293614829
229	5.290658236
230	5.287288319
231	5.283386361
232	5.280729595
233	5.277238311
234	5.275149881
235	5.271925478
236	5.268783568
237	5.266962173
238	5.26441623
239	5.260684955
240	5.257522997
241	5.255267853
242	5.252723433
243	5.248777734
244	5.246170233
245	5.243503349
246	5.2399742
247	5.238771158
248	5.236390088
249	5.233969705
250	5.231577123
251	5.229264681
252	5.227616966
253	5.226149902
254	5.222984616
255	5.220224092
256	5.217393231
257	5.215650829
258	5.212759961
259	5.210781104
260	5.20997819
261	5.208588912
262	5.205971581
263	5.20434374
264	5.202783456
265	5.200616989
266	5.198061334
267	5.196262726
268	5.1939668
269	5.189673617
270	5.186595889
271	5.185525346
272	5.182069076
273	5.179632713
274	5.177394686
275	5.175395198
276	5.173975084
277	5.172073154
278	5.1700441
279	5.16828436
280	5.164644497
281	5.160961384
282	5.159606857
283	5.156670203
284	5.153070047
285	5.151158284
286	5.148859462
287	5.147316456
288	5.143880627
289	5.142481942
290	5.141125292
291	5.138380493
292	5.136702388
293	5.134469645
294	5.133011237
