iter	Passed	Remaining
0	1	948
1	2	771
2	3	726
3	4	680
4	5	644
5	6	624
6	7	605
7	8	604
8	8	589
9	9	581
10	10	574
11	11	574
12	12	566
13	13	561
14	14	555
15	15	555
16	16	550
17	16	544
18	17	539
19	18	536
20	19	536
21	20	530
22	21	530
23	21	527
24	22	523
25	23	519
26	24	516
27	25	514
28	26	513
29	27	513
30	27	511
31	28	508
32	29	506
33	30	503
34	31	501
35	31	501
36	32	499
37	33	497
38	34	495
39	35	492
40	35	490
41	36	488
42	37	486
43	38	484
44	39	482
45	39	480
46	40	479
47	41	477
48	42	475
49	43	473
50	43	472
51	44	472
52	45	471
53	46	470
54	47	468
55	47	465
56	48	466
57	49	464
58	50	463
59	51	461
60	52	460
61	52	458
62	53	457
63	54	455
64	55	455
65	56	454
66	56	452
67	57	451
68	59	456
69	60	455
70	60	454
71	61	452
72	62	451
73	63	451
74	64	451
75	65	451
76	66	449
77	66	448
78	67	447
79	68	445
80	69	444
81	70	443
82	71	442
83	71	441
84	72	440
85	73	439
86	74	438
87	75	437
88	75	436
89	76	434
90	77	433
91	78	432
92	78	430
93	79	430
94	80	430
95	81	429
96	82	428
97	83	427
98	84	428
99	85	428
100	86	427
101	87	426
102	89	429
103	89	428
104	90	427
105	91	427
106	92	426
107	93	426
108	94	425
109	95	424
110	96	423
111	96	422
112	97	421
113	98	420
114	99	419
115	100	418
116	101	417
117	101	416
118	102	415
119	103	414
120	104	413
121	105	412
122	106	411
123	107	410
124	107	410
125	108	408
126	109	408
127	110	406
128	111	405
129	112	405
130	112	404
131	113	403
132	114	402
133	115	401
134	116	400
135	117	399
136	118	399
137	118	398
138	119	396
139	120	395
140	121	394
141	121	393
142	122	392
143	123	391
144	124	390
145	125	388
146	125	388
147	126	387
148	127	386
149	128	385
150	129	384
151	129	383
152	130	382
153	131	381
154	132	380
155	133	379
156	134	378
157	134	376
158	135	375
159	136	375
160	137	374
161	138	374
162	139	373
163	140	372
164	140	371
165	141	370
166	142	370
167	143	369
168	144	368
169	145	368
170	147	369
171	148	368
172	148	367
173	149	366
174	150	365
175	151	364
176	151	362
177	152	361
178	153	360
179	154	359
180	154	358
181	155	357
182	156	356
183	157	355
184	158	354
185	158	353
186	159	353
187	160	352
188	161	351
189	162	350
190	163	349
191	163	348
192	164	347
193	165	346
194	166	345
195	166	344
196	167	343
197	168	342
198	169	341
199	170	340
200	170	338
201	171	337
202	172	336
203	172	335
204	173	334
205	174	333
206	175	332
207	176	331
208	176	330
209	177	329
210	178	328
211	179	328
212	180	327
213	180	326
214	181	325
215	182	324
216	183	323
217	183	322
218	184	321
219	185	320
220	186	319
221	186	318
222	187	317
223	188	316
224	189	315
225	190	314
226	191	313
227	191	313
228	192	312
229	193	311
230	194	310
231	195	309
232	196	308
233	196	307
234	197	306
235	198	305
236	199	304
237	199	303
238	200	302
239	201	302
240	202	301
241	204	301
242	204	301
243	205	300
244	206	299
245	207	298
246	208	297
247	208	296
248	209	295
249	210	294
250	211	293
251	212	292
252	212	291
253	213	290
254	214	289
255	215	289
256	215	288
257	216	287
258	217	286
259	218	285
260	219	284
261	219	283
262	220	282
263	221	281
264	222	280
265	222	279
266	223	278
267	224	278
268	225	277
269	226	276
270	226	275
271	227	274
272	228	273
273	229	273
274	230	272
275	231	271
276	232	270
277	233	269
278	233	269
279	234	268
280	235	267
281	236	266
282	237	265
283	238	265
284	239	264
285	240	263
286	240	262
287	241	261
288	242	261
289	243	260
290	244	259
291	245	258
292	246	258
293	247	257
294	248	257
295	249	256
296	251	256
297	252	255
298	253	254
299	254	254
300	254	253
301	255	252
302	257	252
303	258	251
304	259	250
305	260	250
306	261	249
307	262	248
308	263	247
309	264	247
310	265	246
311	265	245
312	266	244
313	267	243
314	268	242
315	269	241
316	269	240
317	270	240
318	271	239
319	272	238
320	273	237
321	273	236
322	274	235
323	275	234
324	276	233
325	277	233
326	278	232
327	279	231
328	279	230
329	280	229
330	281	228
331	282	227
332	283	227
333	284	226
334	284	225
335	285	224
336	286	223
337	287	222
338	288	221
339	288	220
340	289	219
341	290	219
342	291	218
343	292	217
344	292	216
345	293	215
346	294	214
347	295	213
348	296	213
349	297	212
350	298	211
351	299	210
352	299	209
353	300	209
354	301	208
355	302	207
356	303	206
357	304	205
358	305	205
359	306	204
360	307	203
361	308	202
362	309	202
363	310	201
364	311	200
365	312	199
366	312	198
367	313	197
368	314	196
369	315	196
370	316	195
371	317	194
372	317	193
373	318	192
374	319	191
375	320	190
376	321	190
377	322	189
378	323	188
379	324	187
380	325	186
381	325	185
382	326	185
383	327	184
384	328	183
385	329	182
386	329	181
387	330	180
388	331	179
389	331	178
390	332	177
391	333	177
392	334	176
393	335	175
394	336	174
395	336	173
