iter	Passed	Remaining
0	100	100109
1	101	50688
2	102	34162
3	104	25910
4	105	21074
5	107	17795
6	108	15445
7	110	13663
8	111	12286
9	113	11191
10	114	10313
11	116	9563
12	117	8926
13	119	8383
14	121	8002
15	123	7586
16	124	7209
17	125	6869
18	127	6577
19	128	6305
20	130	6066
21	131	5842
22	132	5639
23	134	5461
24	136	5333
25	138	5177
26	139	5032
27	141	4918
28	143	4801
29	144	4679
30	146	4571
31	147	4464
32	148	4364
33	150	4282
34	152	4203
35	153	4122
36	155	4040
37	157	3982
38	158	3907
39	159	3838
40	161	3770
41	162	3705
42	163	3642
43	165	3589
44	166	3536
45	168	3491
46	169	3442
47	171	3393
48	172	3346
49	174	3306
50	175	3263
51	176	3221
52	177	3180
53	179	3145
54	181	3114
55	182	3083
56	184	3050
57	185	3018
58	187	2984
59	188	2952
60	189	2921
61	191	2891
62	192	2860
63	193	2829
64	194	2803
65	196	2781
66	198	2757
67	199	2730
68	200	2704
69	201	2678
70	202	2654
71	204	2631
72	205	2613
73	207	2592
74	208	2571
75	210	2556
76	211	2539
77	213	2522
78	214	2504
79	216	2484
80	217	2466
81	218	2447
82	219	2422
83	220	2406
84	222	2390
85	223	2374
86	225	2363
87	226	2349
88	228	2337
89	229	2322
90	230	2306
91	232	2292
92	234	2285
93	236	2276
94	237	2263
95	239	2252
96	241	2246
97	242	2234
98	245	2233
99	246	2220
100	248	2208
101	249	2195
102	250	2182
103	251	2169
104	253	2157
105	254	2145
106	256	2139
107	259	2139
108	260	2128
109	261	2116
110	264	2116
111	265	2106
112	268	2106
113	269	2097
114	271	2089
115	272	2080
116	274	2068
117	275	2061
118	277	2051
119	278	2041
120	279	2032
121	280	2021
122	282	2012
123	283	2002
124	286	2004
125	288	2000
126	289	1991
127	291	1982
128	292	1975
129	293	1966
130	295	1960
131	297	1954
132	298	1946
133	300	1942
134	302	1937
135	303	1931
136	305	1923
137	306	1915
138	307	1907
139	309	1900
140	310	1892
141	311	1881
142	312	1873
143	313	1865
144	315	1860
145	317	1855
146	318	1848
147	319	1841
148	321	1834
149	322	1827
150	324	1824
151	325	1818
152	327	1812
153	328	1805
154	331	1808
155	333	1802
156	334	1797
157	336	1791
158	337	1785
159	338	1779
160	339	1770
161	341	1764
162	342	1758
163	343	1751
164	345	1746
165	346	1742
166	348	1736
167	349	1731
168	350	1725
169	352	1719
170	354	1717
171	355	1712
172	357	1706
173	358	1701
174	359	1695
175	361	1691
176	362	1687
177	364	1682
178	365	1676
179	367	1672
180	368	1666
181	369	1662
182	371	1656
183	372	1651
184	373	1645
185	375	1642
186	377	1639
187	378	1634
188	379	1630
189	381	1625
190	382	1620
191	383	1615
192	385	1610
193	386	1607
194	388	1602
195	390	1600
196	391	1597
197	393	1593
198	395	1589
199	396	1585
200	397	1581
201	399	1577
202	400	1572
203	402	1569
204	403	1564
205	405	1562
206	406	1559
207	408	1555
208	409	1550
